month,peak_status,range_0_500,range_501_1000,range_1001_1500,range_1501_2500,range_2501
01,off,-0.924,-0.427,-0.014,0.692,4.17
01,mid,1.201,3.673,4.891,6.282,9.761
02,off,-0.924,-0.427,-0.014,0.692,4.17
02,mid,1.201,3.673,4.891,6.282,9.761
03,off,-0.924,-0.427,-0.014,0.692,4.17
03,mid,1.201,3.673,4.891,6.282,9.761
04,off,-0.924,-0.427,-0.014,0.692,4.17
04,mid,1.201,3.673,4.891,6.282,9.761
05,off,-0.924,-0.427,-0.014,0.692,4.17
05,mid,1.201,3.673,4.891,6.282,9.761
06,off,0.493,1.188,2.182,2.679,6.158
06,mid,5.04,6.218,7.134,7.934,9.512
06,high,9.761,11.003,12.196,13.031,14.979
07,off,0.493,1.188,2.182,2.679,6.158
07,mid,5.04,6.218,7.134,7.934,9.512
07,high,9.761,11.003,12.196,13.031,14.979
08,off,0.493,1.188,2.182,2.679,6.158
08,mid,5.04,6.218,7.134,7.934,9.512
08,high,9.761,11.003,12.196,13.031,14.979
09,off,0.493,1.188,2.182,2.679,6.158
09,mid,5.04,6.218,7.134,7.934,9.512
09,high,9.761,11.003,12.196,13.031,14.979
10,off,-0.924,-0.427,-0.014,0.692,4.17
10,mid,1.201,3.673,4.891,6.282,9.761
11,off,-0.924,-0.427,-0.014,0.692,4.17
11,mid,1.201,3.673,4.891,6.282,9.761
12,off,-0.924,-0.427,-0.014,0.692,4.17
12,mid,1.201,3.673,4.891,6.282,9.761
