month,hour,peak_status
01,0,off
01,1,off
01,2,off
01,3,off
01,4,off
01,5,off
01,6,mid
01,7,mid
01,8,mid
01,9,mid
01,10,mid
01,11,mid
01,12,mid
01,13,mid
01,14,mid
01,15,mid
01,16,mid
01,17,mid
01,18,mid
01,19,mid
01,20,mid
01,21,mid
01,22,off
01,23,off
02,0,off
02,1,off
02,2,off
02,3,off
02,4,off
02,5,off
02,6,mid
02,7,mid
02,8,mid
02,9,mid
02,10,mid
02,11,mid
02,12,mid
02,13,mid
02,14,mid
02,15,mid
02,16,mid
02,17,mid
02,18,mid
02,19,mid
02,20,mid
02,21,mid
02,22,off
02,23,off
03,0,off
03,1,off
03,2,off
03,3,off
03,4,off
03,5,off
03,6,mid
03,7,mid
03,8,mid
03,9,mid
03,10,mid
03,11,mid
03,12,mid
03,13,mid
03,14,mid
03,15,mid
03,16,mid
03,17,mid
03,18,mid
03,19,mid
03,20,mid
03,21,mid
03,22,off
03,23,off
04,0,off
04,1,off
04,2,off
04,3,off
04,4,off
04,5,off
04,6,mid
04,7,mid
04,8,mid
04,9,mid
04,10,mid
04,11,mid
04,12,mid
04,13,mid
04,14,mid
04,15,mid
04,16,mid
04,17,mid
04,18,mid
04,19,mid
04,20,mid
04,21,mid
04,22,off
04,23,off
05,0,off
05,1,off
05,2,off
05,3,off
05,4,off
05,5,off
05,6,mid
05,7,mid
05,8,mid
05,9,mid
05,10,mid
05,11,mid
05,12,mid
05,13,mid
05,14,mid
05,15,mid
05,16,mid
05,17,mid
05,18,mid
05,19,mid
05,20,mid
05,21,mid
05,22,off
05,23,off
06,0,off
06,1,off
06,2,off
06,3,off
06,4,off
06,5,off
06,6,mid
06,7,mid
06,8,mid
06,9,mid
06,10,mid
06,11,mid
06,12,mid
06,13,mid
06,14,high
06,15,high
06,16,high
06,17,high
06,18,high
06,19,high
06,20,mid
06,21,mid
06,22,off
06,23,off
07,0,off
07,1,off
07,2,off
07,3,off
07,4,off
07,5,off
07,6,mid
07,7,mid
07,8,mid
07,9,mid
07,10,mid
07,11,mid
07,12,mid
07,13,mid
07,14,high
07,15,high
07,16,high
07,17,high
07,18,high
07,19,high
07,20,mid
07,21,mid
07,22,off
07,23,off
08,0,off
08,1,off
08,2,off
08,3,off
08,4,off
08,5,off
08,6,mid
08,7,mid
08,8,mid
08,9,mid
08,10,mid
08,11,mid
08,12,mid
08,13,mid
08,14,high
08,15,high
08,16,high
08,17,high
08,18,high
08,19,high
08,20,mid
08,21,mid
08,22,off
08,23,off
09,0,off
09,1,off
09,2,off
09,3,off
09,4,off
09,5,off
09,6,mid
09,7,mid
09,8,mid
09,9,mid
09,10,mid
09,11,mid
09,12,mid
09,13,mid
09,14,high
09,15,high
09,16,high
09,17,high
09,18,high
09,19,high
09,20,mid
09,21,mid
09,22,off
09,23,off
10,0,off
10,1,off
10,2,off
10,3,off
10,4,off
10,5,off
10,6,mid
10,7,mid
10,8,mid
10,9,mid
10,10,mid
10,11,mid
10,12,mid
10,13,mid
10,14,mid
10,15,mid
10,16,mid
10,17,mid
10,18,mid
10,19,mid
10,20,mid
10,21,mid
10,22,off
10,23,off
11,0,off
11,1,off
11,2,off
11,3,off
11,4,off
11,5,off
11,6,mid
11,7,mid
11,8,mid
11,9,mid
11,10,mid
11,11,mid
11,12,mid
11,13,mid
11,14,mid
11,15,mid
11,16,mid
11,17,mid
11,18,mid
11,19,mid
11,20,mid
11,21,mid
11,22,off
11,23,off
12,0,off
12,1,off
12,2,off
12,3,off
12,4,off
12,5,off
12,6,mid
12,7,mid
12,8,mid
12,9,mid
12,10,mid
12,11,mid
12,12,mid
12,13,mid
12,14,mid
12,15,mid
12,16,mid
12,17,mid
12,18,mid
12,19,mid
12,20,mid
12,21,mid
12,22,off
12,23,off
